시군,명칭,분류명,연락처
춘천시,공지천 보트장(오리배),수상&해양&물놀이,033-250-0088
춘천시,춘천시 윈드서핑,수상&해양&물놀이,033-250-3068
춘천시,춘천시청소년푸른쉼터 인라인스케이트장,모터&바이크&인라인,033-250-3251
춘천시,춘천모터파크,모터&바이크&인라인,033-250-3251
춘천시,춘천 MTB코스,모터&바이크&인라인,033-250-3255
춘천시,춘천 자전거길,모터&바이크&인라인,033-250-3255
춘천시,춘천의 아침,캠핑&트래킹,033-250-3545
춘천시,플레이어스 골프 클럽,골프&승마,033-250-5000
춘천시,춘천 봄내길,캠핑&트래킹,033-253-3700
춘천시,안개가 드리워진 삼악산,등벽&등반,033-253-3700
춘천시,의암호,캠핑&트래킹,033-253-3700
춘천시,아름다운 공지천,캠핑&트래킹,033-253-3700
춘천시,춘천 의암호둘레길(자전거라이딩),모터&바이크&인라인,033-253-3700
춘천시,북한강 걷기와 자전거 길,모터&바이크&인라인,033-253-3700
춘천시,아침의 공지천,캠핑&트래킹,033-253-3700
춘천시,춘천 승마장,골프&승마,033-253-3721
춘천시,스프링베일 골프클럽,골프&승마,033-254-7900
춘천시,라데나 GC,골프&승마,033-260-1114
춘천시,오너스 골프클럽,골프&승마,033-260-1900
춘천시,엘리시안 강촌 스키장,스키&보드&썰매,033-260-2000
춘천시,엘리시안 강촌 골프장,골프&승마,033-260-2000
춘천시,엘리시안 강촌 썰매장,스키&보드&썰매,033-260-2000
춘천시,제이드 펠리스,골프&승마,033-260-8000
춘천시,구곡폭포 빙벽,등벽&등반,033-261-0088
춘천시,MK LEISURE 수상레저 서바이벌게임,사격&서바이벌,033-261-8587
춘천시,MK LEISURE 카트장,모터&바이크&인라인,033-261-8587
춘천시,MK LEISURE 수상레저 모터보트,수상&해양&물놀이,033-261-8587
춘천시,MK LEISURE 수상레저 수상스키,수상&해양&물놀이,033-261-8587
춘천시,MK LEISURE 수상레저 워터슬레이드,수상&해양&물놀이,033-261-8587
춘천시,MK LEISURE 수상레저 웨이크보드,수상&해양&물놀이,033-261-8587
춘천시,M2수상레저 수상스키,수상&해양&물놀이,033-262-0666
춘천시,M2수상레저 워터슬레이드,수상&해양&물놀이,033-262-0666
춘천시,M2수상레저 제트스키,수상&해양&물놀이,033-262-0666
춘천시,M2수상레저 웨이크보드,수상&해양&물놀이,033-262-0666
춘천시,춘천밸리 눈썰매장,스키&보드&썰매,033-262-0990
춘천시,강촌 번지점프,점프&활강,033-262-2228
춘천시,드림수상레저 웨이크보드,수상&해양&물놀이,033-262-7227
춘천시,블루샤크 수상레져(볼륨점프),수상&해양&물놀이,033-263-0119
춘천시,블루샤크 수상레저 웨이크보드,수상&해양&물놀이,033-263-0119
춘천시,블루샤크 수상레저 모터보트,수상&해양&물놀이,033-263-0119
춘천시,블루샤크 수상레져 수상스키,수상&해양&물놀이,033-263-0119
춘천시,트로이카수상캠프 수상스키,수상&해양&물놀이,033-263-3487
춘천시,트로이카수상캠프 워터슬레이드,수상&해양&물놀이,033-263-3487
춘천시,트로이카수상캠프 모터보트,수상&해양&물놀이,033-263-3487
춘천시,트로이카수상캠프 웨이크보드,수상&해양&물놀이,033-263-3487
춘천시,춘천 송암스포츠타운 딩기요트,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암스포츠타운 수상체험,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암스포츠타운 수상스키,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암스포츠타운 짚와이어,점프&활강,033-263-5550
춘천시,춘천 송암레포츠타운 페인트볼 사격,사격&서바이벌,033-263-5550
춘천시,춘천 송암스포츠타운 보팅,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암레포츠타운 카트체험장,모터&바이크&인라인,033-263-5550
춘천시,춘천 송암스포츠타운 카누,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암스포츠타운 오토캠핑,캠핑&트래킹,033-263-5550
춘천시,춘천 송암레포츠타운 인라인스케이트장,모터&바이크&인라인,033-263-5550
춘천시,춘천 송암스포츠타운 수상물놀이,수상&해양&물놀이,033-263-5550
춘천시,춘천 송암스포츠타운 웨이크보드,수상&해양&물놀이,033-263-5550
춘천시,친절한수상레저 수상스키,수상&해양&물놀이,033-263-5988
춘천시,춘천 인공암벽장,등벽&등반,033-264-2750
춘천시,춘천종합사격장,사격&서바이벌,033-264-4116
춘천시,남춘천 C.C,골프&승마,033-269-3000
춘천시,물레길 카누투어,수상&해양&물놀이,070-4150-9463
춘천시,놀자수상레저 모터보트,수상&해양&물놀이,070-4224-7757
춘천시,놀자수상레저 수상스키,수상&해양&물놀이,070-4224-7757
춘천시,놀자수상레저 워터슬레이드,수상&해양&물놀이,070-4224-7757
춘천시,놀자수상레저 웨이크보드,수상&해양&물놀이,070-4224-7757
춘천시,리버팰리스 수상레저 워터파크,수상&해양&물놀이,070-4401-3188
춘천시,리버팰리스 수상레저 제트스키,수상&해양&물놀이,070-4401-3188
춘천시,리버팰리스 수상레저 모터보트,수상&해양&물놀이,070-4401-3188
춘천시,리버팰리스 수상레저 워터슬레이드,수상&해양&물놀이,070-4401-3188
춘천시,리버팰리스 수상레저 웨이크보드,수상&해양&물놀이,070-4401-3188
춘천시,리버팰리스 수상레저 수상스키,수상&해양&물놀이,070-4401-3188
춘천시,알프스밸리 사계절썰매장,스키&보드&썰매,080-3030-2580
춘천시,파가니카 CC,골프&승마,1566-6556
태백시,용연동굴,동굴&천문대,033-550-2727
태백시,태백청소년수련관(태백산도립공원 당골야영장),캠핑&트래킹,033-550-2825
태백시,365 세이프 타운,캠핑&트래킹,033-550-3101
태백시,태백산 인공암벽장,등벽&등반,033-552-8229
태백시,태백산 눈썰매장,스키&보드&썰매,033-553-5647
태백시,태백승마클럽,골프&승마,033-554-1107
태백시,오투리조트 골프,골프&승마,033-580-7000
태백시,오투리조트 눈썰매장,스키&보드&썰매,033-580-7000
태백시,오투리조트 스키장,스키&보드&썰매,033-580-7000
태백시,태백 레이싱 파크,모터&바이크&인라인,033-581-2400
태백시,태백고원자연휴양림 야영장,캠핑&트래킹,033-582-7238
평창군,국립평창청소년수련원 스포츠클라이밍,등벽&등반,033-330-0838
평창군,국립평창청소년수련원 하늘썰매&챌린지로프코스,점프&활강,033-330-0838
평창군,오대천 래프팅,수상&해양&물놀이,033-330-2399
평창군,두타산 자연휴양림 캠핑장,캠핑&트래킹,033-330-2542
평창군,효석문학 100리길,캠핑&트래킹,033-330-2762
평창군,놀자365닷컴(유미레저/ 평창레저/ 쿨레포츠),모터&바이크&인라인,033-332-0008
평창군,유미레저(놀자365닷컴) 카약,수상&해양&물놀이,033-332-0008
평창군,유미레저 서바이벌,사격&서바이벌,033-332-0009
평창군,조나단 패러글라이딩학교(장암산 활공장),항공&글라이딩,033-333-2625
평창군,로하스파크&가든 사계절썰매장,스키&보드&썰매,033-334-3200
평창군,대관령켄터키승마장,골프&승마,033-334-4410
평창군,700빌리지,모터&바이크&인라인,033-334-5600
평창군,700빌리지 승마체험,골프&승마,033-334-5600
평창군,700빌리지 개썰매,스키&보드&썰매,033-334-5600
평창군,백룡동굴생태체험학습장,동굴&천문대,033-334-7200
평창군,코리아레저스쿨(발왕산 활공장),항공&글라이딩,033-335-7787
평창군,해피호스파크,골프&승마,033-336-4445
평창군,대관령스노우파크 눈썰매장,스키&보드&썰매,033-336-9812
평창군,평창 알펜시아리조트 오션700 워터파크,수상&해양&물놀이,033-339-0000
평창군,알펜시아 리조트 700GC,골프&승마,033-339-0000
평창군,알펜시아리조트 스키장,스키&보드&썰매,033-339-0000
평창군,알펜시아리조트 사계절썰매장,스키&보드&썰매,033-339-0000
평창군,노동계곡 오토캠핑장(노동리 오토캠핑장),캠핑&트래킹,070-7789-8892
평창군,용평리조트 사계절썰매장,스키&보드&썰매,1588-0009
평창군,용평리조트 GC,골프&승마,1588-0009
평창군,용평리조트 스키장,스키&보드&썰매,1588-0009
평창군,용평리조트 승마체험장,골프&승마,1588-0009
평창군,용평리조트 피크아일랜드,수상&해양&물놀이,1588-0009
평창군,보광휘닉스파크 고랭길,캠핑&트래킹,1588-2828
평창군,보광휘닉스파크 눈썰매장,스키&보드&썰매,1588-2828
평창군,보광휘닉스파크 스키장,스키&보드&썰매,1588-2828
평창군,보광 휘닉스파크 골프클럽,골프&승마,1588-2828
평창군,보광 휘닉스파크 레포츠파크,모터&바이크&인라인,1588-2828
평창군,보광휘닉스파크 플라잉 짚,점프&활강,1588-2828
평창군,평창 보광휘닉스파크 블루캐니언,수상&해양&물놀이,1588-2828
평창군,보광 휘닉스파크 웰니스 숲속 트래킹,캠핑&트래킹,1588-2828
홍천군,몽키수상레저 웨이크보드,수상&해양&물놀이,033-261-8587
홍천군,몽키수상레저 모터보트,수상&해양&물놀이,033-261-8587
홍천군,몽키수상레저 워터슬레이드,수상&해양&물놀이,033-261-8587
홍천군,개야리 에움 녹색길,캠핑&트래킹,033-430-2471
홍천군,팔봉산 관광지 야영장,캠핑&트래킹,033-430-2471
홍천군,홍천군 청소년 야영장,캠핑&트래킹,033-430-2471
홍천군,홍천 스포츠클라이밍센터,등벽&등반,033-430-2492
홍천군,도시산림공원토리숲 인라인스케이트장,모터&바이크&인라인,033-430-2791
홍천군,대명 비발디 파크 CC,골프&승마,033-430-8971
홍천군,아쿠아베이 웨이크보드,수상&해양&물놀이,033-434-1470
홍천군,아쿠아베이 워터슬레이드,수상&해양&물놀이,033-434-1470
홍천군,아쿠아베이 모터보트,수상&해양&물놀이,033-434-1470
홍천군,아쿠아베이 수상스키,수상&해양&물놀이,033-434-1470
홍천군,레포츠아이,사격&서바이벌,033-435-5339
홍천군,가리산자연휴양림캠프장,캠핑&트래킹,033-435-6034
홍천군,모곡레저타운 서바이벌게임,사격&서바이벌,033-435-8333
홍천군,모곡레저타운 ATV,모터&바이크&인라인,033-435-8333
홍천군,모곡레저타운 카누,수상&해양&물놀이,033-435-8333
홍천군,홍천 모곡레저타운 오토캠핑장,캠핑&트래킹,033-435-8333
홍천군,힐드로사이 CC,골프&승마,033-439-3360
홍천군,홍천 CC,골프&승마,033-439-5103
홍천군,대명 비발디파크 눈썰매장,스키&보드&썰매,033-439-7251
홍천군,대명 오션월드,수상&해양&물놀이,1588-4888
홍천군,대명비발디파크 스키장,스키&보드&썰매,1588-4888
화천군,용화산 새남바위 암벽등반,등벽&등반,033-243-9261
화천군,딴산빙벽장,등벽&등반,033-440-2548
화천군,화천 파로호 산소 100리길,캠핑&트래킹,033-440-2557
화천군,화천 청소년 야영장,캠핑&트래킹,033-441-0770
화천군,광덕그린농원 눈썰매장,스키&보드&썰매,033-441-2617
화천군,화천철도테마파크,모터&바이크&인라인,033-441-8877
화천군,파로호 도송 좌대,캠핑&트래킹,033-442-2279
화천군,산천어 밸리,캠핑&트래킹,033-442-8779
횡성군,횡성 종합운동장 체육공원,모터&바이크&인라인,033-340-2356
횡성군,Eco 800 태기산 트래킹로,캠핑&트래킹,033-340-2403
횡성군,횡성호수길,캠핑&트래킹,033-340-2545
횡성군,병지방오토캠핑장,캠핑&트래킹,033-340-2545
횡성군,웰리힐리파크 짚라인,점프&활강,033-340-3000
횡성군,웰리힐리파크 온로드카트,모터&바이크&인라인,033-340-3000
횡성군,청우골프,골프&승마,033-340-8000
횡성군,횡성 천문인마을,동굴&천문대,033-342-9023
횡성군,횡성 레포츠공원,캠핑&트래킹,033-343-0986
횡성군,둔내 자연 휴양림 캠핑장,캠핑&트래킹,033-343-8155
횡성군,청태산자연휴양림,캠핑&트래킹,033-343-9707
횡성군,횡성 스포랜드 클레이사격,사격&서바이벌,033-344-2500
횡성군,동원썬밸리,골프&승마,033-344-5308
횡성군,주천강자연휴양림,캠핑&트래킹,033-345-8225
횡성군,횡성 우리별천문대,동굴&천문대,033-345-8471
횡성군,웰리힐리파크 사계절썰매장,스키&보드&썰매,1544-8833
횡성군,웰리힐리파크 스키장,스키&보드&썰매,1544-8833
횡성군,웰리힐리 CC,골프&승마,1544-8833
