연번,업소명,영업소 주소(도로명),소재지전화,업태명,데이터기준일자
64,썬하우스,"강원도 동해시 일출로 462, 지층,2층,3층 (대진동)",033- 534-3958,숙박업 기타,2022-10-19
65,방파제파크,강원도 동해시 일출로 462-2 (대진동),033- 534-3803,여관업,2022-10-19
66,로얄비치,"강원도 동해시 대진항길 13, 2층 (대진동)",033- 534-3277,여관업,2022-10-19
67,솔게스트하우스동해서핑점,강원도 동해시 대진항길 9 (대진동),1522-2364,여관업,2022-10-19
68,천자봉 비치,강원도 동해시 대진항길 23 (대진동),033- 534-6645,여관업,2022-10-19
69,청송파크,"강원도 동해시 일출로 69, 3, 4층 (묵호진동)",,여관업,2022-10-19
70,해조하우스,강원도 동해시 일출로 103 (묵호진동),033- 533-2093,여관업,2022-10-19
71,등대오름길펜션,강원도 동해시 일출로 97 (묵호진동),033- 535-1717,여관업,2022-10-19
72,하얏트모텔,강원도 동해시 동해대로 6147 (망상동),033- 534-6696,여관업,2022-10-19
73,팜비치모텔,강원도 동해시 동해대로 6151 (망상동),033- 534-3342,여관업,2022-10-19
74,초콜릿모텔,강원도 동해시 동해대로 6199-30 (망상동),033- 531-1132,여관업,2022-10-19
75,헤미리로또하우스,강원도 동해시 발한로 207-1 (발한동),033- 535-7895,여관업,2022-10-19
76,엠유모텔,강원도 동해시 일출로 141 (묵호진동),033- 534-2534,여관업,2022-10-19
77,망상해오름가족호텔,강원도 동해시 동해대로 6188 (망상동),033- 532-7373,관광호텔,2022-10-19
78,텐 무인텔,"강원도 동해시 대학로 16, 10층 1001~1002호 (천곡동)",033- 533-5185,숙박업 기타,2022-10-19
79,렉스모텔,강원도 동해시 효자로 705 (효가동),033- 521-0068,숙박업 기타,2022-10-19
80,동해현진관광호텔,강원도 동해시 동굴로 125-3 (천곡동),033- 539-2010,관광호텔,2022-10-19
81,명품 자바모텔,강원도 동해시 대동로 261-43 (송정동),033- 521-1211,여관업,2022-10-19
82,37.2℃무인모텔,강원도 동해시 한섬로 112-2 (천곡동),033- 532-1800,숙박업 기타,2022-10-19
83,동해무릉건강숲,강원도 동해시 삼화로 455 (삼화동),033- 530-2391,숙박업 기타,2022-10-19
84,에덴파크모텔,강원도 동해시 동해대로 5032-1 (효가동),033- 531-5353,숙박업 기타,2022-10-19
85,무코바란주식회사중앙지점,"강원도 동해시 일출로 5-2, 2,3층 (발한동)",033- 532-2043,숙박업 기타,2022-10-19
86,늘푸른펜션,"강원도 동해시 추암택지길 40, 1층 (추암동)",033- 521-6325,숙박업 기타,2022-10-19
87,제이제이모텔,"강원도 동해시 일출로 123, 3~6층 (묵호진동)",033- 535-7654,여관업,2022-10-19
88,럭스모텔,"강원도 동해시 향로6길 10, 2~4층 (발한동)",033- 532-0789,여관업,2022-10-19
89,유브(UVE)모텔,강원도 동해시 동굴로 123-5 (천곡동),033- 532-2988,일반호텔,2022-10-19
90,호텔 바다,강원도 동해시 일출로 201 (어달동),033- 534-0009,여관업,2022-10-19
91,호텔스토리,"강원도 동해시 동해항3길 7, 호텔 스토리 (송정동)",033- 522-3003,숙박업 기타,2022-10-19
92,아라비카 호스텔,강원도 동해시 동굴로 138 (천곡동),033- 535-0877,관광호텔,2022-10-19
93,호텔 여기어때 묵호점,"강원도 동해시 발한로 164, 1, 5~6층 (발한동)",033- 535-5100,일반호텔,2022-10-19
94,서퍼랑,"강원도 동해시 일출로 464, 1층 (대진동)",0507-1410-4272,숙박업 기타,2022-10-19
95,이스트호스텔,강원도 동해시 동해대로 6267 (망상동),033- 534-6654,관광호텔,2022-10-19
96,해오름게스트하우스,강원도 동해시 추암택지길 5-3 (추암동),,숙박업 기타,2022-10-19
97,금빛바다,강원도 동해시 망상길 51-1 (망상동),033- 534-3442,관광호텔,2022-10-19
98,골든비치,강원도 동해시 망상길 43 (망상동),033-534-3772,관광호텔,2022-10-19
99,스타비치,강원도 동해시 망상길 39 (망상동),0507-1377-3772,관광호텔,2022-10-19
100,동해바다,강원도 동해시 동해대로 6277 (망상동),0507-1375-3072,관광호텔,2022-10-19
101,블루스팟,"강원도 동해시 일출로 127-1, 2층 (묵호진동)",033-534-1475,관광호텔,2022-10-19
102,이지무인텔,강원도 동해시 향로봉길 100-3 (부곡동),033- 533-9900,숙박업 기타,2022-10-19
103,해비치민박,"강원도 동해시 일출로 113-1, 해비치민박 2~3층 (묵호진동)",033- 532-1248,숙박업 기타,2022-10-19
104,휘게51,"강원도 동해시 오일장길 23-1, 2층 (구미동)",0507-1324-7095,숙박업 기타,2022-10-19
105,션샤인호텔,"강원도 동해시 일출로 20-1, 1~6층 (발한동)",033- 533-2047,일반호텔,2022-10-19
106,바다펜션,강원도 동해시 대진항길 19-1 (대진동),033- 533-5590,숙박업(생활),2022-10-19
107,도요펜션,강원도 동해시 어달1길 1 (어달동),033- 534-3929,숙박업(생활),2022-10-19
108,추암팬션,강원도 동해시 추암택지길 19 (추암동),033- 521-4273,숙박업(생활),2022-10-19
109,쌍둥이하우스,강원도 동해시 추암택지길 55 (추암동), 070-4250-4246,숙박업(생활),2022-10-19
110,추암타워펜션,강원도 동해시 추암택지길 3-6 (추암동),033- 521-5222,숙박업(생활),2022-10-19
111,우리펜션,강원도 동해시 추암택지길 3-2 (추암동),033- 521-4340,숙박업(생활),2022-10-19
112,해돋이 펜션,강원도 동해시 추암택지길 27 (추암동),033- 522-1766,숙박업(생활),2022-10-19
113,추암행복펜션,강원도 동해시 추암택지길 60 (추암동),0507-1377-0588,숙박업(생활),2022-10-19
114,"정다운펜션,슈퍼",강원도 동해시 추암택지길 3-5 (추암동),033- 522-2979,숙박업(생활),2022-10-19
115,추암 일번지 펜션,강원도 동해시 추암택지길 58 (추암동),033- 522-2561,숙박업(생활),2022-10-19
116,무릉계곡 펜션,강원도 동해시 삼화로 294-1 (삼화동),033- 534-6789,숙박업(생활),2022-10-19
117,아름드리,강원도 동해시 추암택지길 11-4 (추암동),033 -521 -5649,숙박업(생활),2022-10-19
118,휴모텔펜션,"강원도 동해시 추암택지길 3-4, 2~5층 (추암동)",033 -522 -1700,숙박업(생활),2022-10-19
119,추암일출펜션,"강원도 동해시 추암택지길 5-4, 1,2층 (추암동)",033 -522 -3004,숙박업(생활),2022-10-19
120,동쪽하늘펜션앤게스트하우스,"강원도 동해시 일출로 211, 2,3층 (묵호진동)",0507-1324-6994,숙박업(생활),2022-10-19
121,어쩌다어달,강원도 동해시 일출로 309 (어달동),0507-1461-3091,숙박업(생활),2022-10-19
122,골든뷰,"강원도 동해시 대진항길 49-1, 3층 (대진동)",033- 531-0090,숙박업(생활),2022-10-19
123,유브모텔(생활),"강원도 동해시 동굴로 123-5, 6층 (천곡동)",033- 532-2988,숙박업(생활),2022-10-19
124,해암정펜션,"강원도 동해시 추암택지길 17, 3층 (추암동)",033- 521-4252,숙박업(생활),2022-10-19
125,어달을 담다,"강원도 동해시 일출로 305, 2~3층 (어달동)",033- 533-2650,숙박업(생활),2022-10-19
126,어달오션펜션,"강원도 동해시 일출로 301, 2,3층 (어달동)",,숙박업(생활),2022-10-19
127,어달펜션,"강원도 동해시 일출로 257, 2, 3층 (어달동)",033- 533-7774,숙박업(생활),2022-10-19
128,해뜨는 바다 하우스,"강원도 동해시 임항로 99, 2,3층 (발한동)",033- 533-2593,숙박업(생활),2022-10-19
129,수지네집,"강원도 동해시 대진항길 47, 가동 1,3층 (대진동)", 070- 534-3801,숙박업(생활),2022-10-19
130,태정펜션,"강원도 동해시 망상3길 5, 태정펜션 (망상동)",033-534-6777,숙박업(생활),2022-10-19
131,하늘바다펜션,강원도 동해시 망상3길 3 (망상동),0507-1416-5818,숙박업(생활),2022-10-19
132,썬샤인펜션,강원도 동해시 일출로 393-1 (대진동),033-534-8580,숙박업(생활),2022-10-19
133,창넓은펜션,"강원도 동해시 일출로 109-1, 2,3층 (묵호진동)",,숙박업(생활),2022-10-19
134,동해오션시티레지던스호텔,"강원도 동해시 한섬로 136-4, 3~18층 (천곡동)",033- 533-8825,숙박업(생활),2022-10-19
135,동해월드펜션,"강원도 동해시 일출로 111, 2,3층 (묵호진동)",033- 533-1143,숙박업(생활),2022-10-19
136,신비호텔,강원도 동해시 일출로 309-1 (어달동),0507-1460-3091,숙박업(생활),2022-10-19
137,우유펜션,"강원도 동해시 일출로 161, 다동 2층 (묵호진동)",,숙박업(생활),2022-10-19
138,보라네민박,"강원도 동해시 일출로 123-1, 2~3층 (묵호진동)",,숙박업(생활),2022-10-19
139,아카이브대진,강원도 동해시 일출로 387 (대진동),0507-1344-7276,숙박업(생활),2022-10-19
140,동해를 그리다,강원도 동해시 일출로 377 (대진동),,숙박업(생활),2022-10-19
141,바다담,"강원도 동해시 대진항길 5, 바다담 1~4층 (대진동)",,숙박업(생활),2022-10-19
