시군구명,사업장명,소재지전화번호,소재지도로명주소,업종구분
평창군,관광펜션 삼봉출발,033-332-0016,강원도 평창군 방림면 감동지길 116-10,관광펜션업
평창군,붓꽃섬 관광펜션,033-336-1771,강원도 평창군 봉평면 봉평북로 193-28,관광펜션업
평창군,붓꽃섬 관광펜션,033-336-1771,강원도 평창군 봉평면 봉평북로 193-28,관광펜션업
평창군,올리브관광펜션,,강원도 평창군 봉평면 석이바우길 76-6,관광펜션업
평창군,칸델라 통나무 펜션,033-333-7778,강원도 평창군 봉평면 석이바우길 92-40,관광펜션업
평창군,관광펜션 레이,033-333-2626,강원도 평창군 봉평면 안흥동길 70-44,관광펜션업
평창군,관광펜션 레이,033-333-2626,강원도 평창군 봉평면 안흥동길 70-44,관광펜션업
평창군,베리온리조트2,033-335-8001,강원도 평창군 봉평면 평온길 14-13,관광펜션업
평창군,베리온리조트,,강원도 평창군 봉평면 평온길 14-13,관광펜션업
평창군,베리온리조트,,강원도 평창군 봉평면 평온길 14-13,관광펜션업
평창군,베리온리조트2,033-335-8001,강원도 평창군 봉평면 평온길 14-13,관광펜션업
평창군,벤치하우스,,강원도 평창군 봉평면 흥정계곡1길 35-6,관광펜션업
평창군,몬티첼로2,033-336-2231,강원도 평창군 봉평면 흥정계곡길 414,관광펜션업
평창군,몬티첼로 관광펜션,033-335-7600,강원도 평창군 봉평면 흥정계곡길 414,관광펜션업
평창군,스노우힐펜션,,강원도 평창군 진부면 수항길 38-13,관광펜션업
평창군,체르맛트,033-336-0412,강원도 평창군 진부면 지령동길 51,관광펜션업
평창군,체르맛트,033-336-0412,강원도 평창군 진부면 지령동길 51,관광펜션업
평창군,청성펜션,,"강원도 평창군 평창읍 살구실길 53-10, 청성애원",관광펜션업
평창군,가마골 관광펜션,033-333-6333,강원도 평창군 평창읍 평창강로 190-8,관광펜션업
홍천군,하립골 관광펜션,,강원도 홍천군 남면 월천길 50-46,관광펜션업
홍천군,하립골 관광펜션,,강원도 홍천군 남면 월천길 50-46,관광펜션업
홍천군,양덕드림빌1호 관광펜션,033-432-8199,강원도 홍천군 남면 화전들길 59-29,관광펜션업
홍천군,양덕드림빌1호 관광펜션,033-432-8199,강원도 홍천군 남면 화전들길 59-29,관광펜션업
홍천군,펜션21,,강원도 홍천군 동면 덕치새들길 1-5,관광펜션업
홍천군,펜션21,,강원도 홍천군 동면 덕치새들길 1-5,관광펜션업
홍천군,관광펜션 바비아나,033-434-6009,강원도 홍천군 북방면 노루목길 64,관광펜션업
홍천군,관광펜션 바비아나,033-434-6009,강원도 홍천군 북방면 노루목길 64,관광펜션업
홍천군,시실리펜션,033-435-9164,강원도 홍천군 북방면 노루목길 71,관광펜션업
홍천군,시실리펜션,033-435-9164,강원도 홍천군 북방면 노루목길 71,관광펜션업
홍천군,관광펜션 라스뗄라,033-434-2920,강원도 홍천군 북방면 노일로 368-13,관광펜션업
홍천군,관광펜션 라스뗄라,033-434-2920,강원도 홍천군 북방면 노일로 368-13,관광펜션업
홍천군,헤리티스2 관광펜션,033-436-3688,강원도 홍천군 북방면 장항2길 14-3,관광펜션업
홍천군,헤리티스2 관광펜션,033-436-3688,강원도 홍천군 북방면 장항2길 14-3,관광펜션업
홍천군,헤리티스 관광펜션,033-436-3688,강원도 홍천군 북방면 장항2길 14-5,관광펜션업
홍천군,헤리티스 관광펜션,033-436-3688,강원도 홍천군 북방면 장항2길 14-5,관광펜션업
홍천군,오캄럭스클럽H,,강원도 홍천군 서면 굴업솔골길 25,관광펜션업
홍천군,오캄럭스클럽 3단지,,강원도 홍천군 서면 굴업솔골길 29,관광펜션업
홍천군,오캄럭스클럽 3단지,,강원도 홍천군 서면 굴업솔골길 29,관광펜션업
홍천군,오캄럭스클럽 2단지,,강원도 홍천군 서면 굴업솔골길 31,관광펜션업
홍천군,오캄럭스클럽 2단지,,강원도 홍천군 서면 굴업솔골길 31,관광펜션업
홍천군,오캄럭스클럽 1단지,,강원도 홍천군 서면 굴업솔골길 33,관광펜션업
홍천군,오캄럭스클럽 1단지,,강원도 홍천군 서면 굴업솔골길 33,관광펜션업
홍천군,토리아이풀빌라골프텔,,강원도 홍천군 서면 설밀길 190-11,관광펜션업
홍천군,토리아이풀빌라 스파1동,,강원도 홍천군 서면 설밀길 190-15,관광펜션업
홍천군,토리아이풀빌라스파2동,,강원도 홍천군 서면 설밀길 190-19,관광펜션업
홍천군,토리아이풀빌라키즈,,강원도 홍천군 서면 설밀길 190-5,관광펜션업
홍천군,토리아이풀빌라,,강원도 홍천군 서면 설밀길 190-9,관광펜션업
홍천군,아침의 향기 관광펜션,,강원도 홍천군 서면 팔봉강변길 209-10,관광펜션업
홍천군,아침의 향기 관광펜션,,강원도 홍천군 서면 팔봉강변길 209-10,관광펜션업
홍천군,까사모로1,,강원도 홍천군 서면 팔봉강변길 209-26,관광펜션업
홍천군,까사모로1,,강원도 홍천군 서면 팔봉강변길 209-26,관광펜션업
홍천군,타샤의 정원 관광펜션,033-434-8337,강원도 홍천군 서면 팔봉강변길 229,관광펜션업
홍천군,타샤의 정원 관광펜션,033-434-8337,강원도 홍천군 서면 팔봉강변길 229,관광펜션업
홍천군,관광펜션 곰,033-435-8588,강원도 홍천군 서면 팔봉산로 1047-4,관광펜션업
홍천군,관광펜션 곰,033-435-8588,강원도 홍천군 서면 팔봉산로 1047-4,관광펜션업
홍천군,다인펜션,,강원도 홍천군 서면 한서로 1466,관광펜션업
홍천군,다인펜션,,강원도 홍천군 서면 한서로 1466,관광펜션업
홍천군,마이웨이 비발디 관광펜션,,강원도 홍천군 서면 한서로 1477,관광펜션업
홍천군,마이웨이 비발디 관광펜션,,강원도 홍천군 서면 한서로 1477,관광펜션업
홍천군,우노하우스2,,강원도 홍천군 서석면 공작산로 2616,관광펜션업
홍천군,우노하우스2,,강원도 홍천군 서석면 공작산로 2616,관광펜션업
홍천군,소토보체,033-436-8300,강원도 홍천군 화촌면 군업안말길 153-16,관광펜션업
홍천군,소토보체,033-436-8300,강원도 홍천군 화촌면 군업안말길 153-16,관광펜션업
홍천군,강변통나무펜션,033-433-5171,강원도 홍천군 화촌면 답연밭길 54,관광펜션업
홍천군,강변통나무펜션,033-433-5171,강원도 홍천군 화촌면 답연밭길 54,관광펜션업
홍천군,이화펜션,033-433-6069,강원도 홍천군 화촌면 장평골말길 119,관광펜션업
홍천군,이화펜션,033-433-6069,강원도 홍천군 화촌면 장평골말길 119,관광펜션업
화천군,라포레 98 A,,강원도 화천군 화천읍 산수화로 119-11,관광펜션업
화천군,라포레 98 B,,강원도 화천군 화천읍 산수화로 119-13,관광펜션업
화천군,모던힐관광펜션,,강원도 횡성군 둔내면 두원1길 20-7,관광펜션업
횡성군,모던힐관광펜션,,강원도 횡성군 둔내면 두원1길 20-7,관광펜션업
횡성군,모던힐관광펜션,,강원도 횡성군 둔내면 두원1길 20-7,관광펜션업
횡성군,별무리관광펜션,,강원도 횡성군 둔내면 용현로 466-12,관광펜션업
횡성군,별무리관광펜션,,강원도 횡성군 둔내면 용현로 466-12,관광펜션업
횡성군,청태산관광펜션,,강원도 횡성군 둔내면 청태산로303번길 21,관광펜션업
횡성군,엔타운,,강원도 횡성군 둔내면 청태산로466번길 17,관광펜션업
횡성군,둔내자연휴양림로하스,,강원도 횡성군 둔내면 청태산로466번길 57-1,관광펜션업
횡성군,다래와밤나무,033-344-6776,강원도 횡성군 서원면 월송석화로 98-33,관광펜션업
횡성군,오크파인트리관광펜션,,강원도 횡성군 서원면 월송석화로 98-33,관광펜션업
